"","group.label"
"588","HG00533.SG"
"589","HG00534.SG"
"590","HG00536.SG"
"591","HG00537.SG"
"592","HG00542.SG"
"593","HG00543.SG"
"594","HG00551.SG"
"595","HG00553.SG"
"596","HG00554.SG"
"597","HG00556.SG"
"598","HG00557.SG"
"599","HG00559.SG"
"600","HG00560.SG"
"601","HG00565.SG"
"602","HG00566.SG"
"603","HG00580.SG"
"604","HG00581.SG"
"605","HG00583.SG"
"606","HG00584.SG"
"607","HG00589.SG"
"608","HG00590.SG"
"609","HG00592.SG"
"610","HG00593.SG"
"611","HG00595.SG"
"612","HG00596.SG"
"613","HG00598.SG"
"614","HG00599.SG"
"615","HG00607.SG"
"616","HG00608.SG"
"617","HG00610.SG"
"618","HG00611.SG"
"619","HG00613.SG"
"620","HG00614.SG"
"621","HG00619.SG"
"622","HG00620.SG"
"623","HG00622.SG"
"624","HG00623.SG"
"625","HG00625.SG"
"626","HG00626.SG"
"627","HG00628.SG"
"628","HG00629.SG"
"629","HG00631.SG"
"630","HG00632.SG"
"631","HG00634.SG"
"632","HG00635.SG"
"633","HG00637.SG"
"634","HG00638.SG"
"635","HG00640.SG"
"636","HG00641.SG"
"637","HG00650.SG"
"638","HG00651.SG"
"639","HG00653.SG"
"640","HG00654.SG"
"641","HG00656.SG"
"642","HG00657.SG"
"643","HG00662.SG"
"644","HG00663.SG"
"645","HG00671.SG"
"646","HG00672.SG"
"647","HG00674.SG"
"648","HG00675.SG"
"649","HG00683.SG"
"650","HG00684.SG"
"651","HG00689.SG"
"652","HG00690.SG"
"653","HG00692.SG"
"654","HG00693.SG"
"655","HG00698.SG"
"656","HG00699.SG"
"657","HG00701.SG"
"658","HG00702.SG"
"659","HG00704.SG"
"660","HG00705.SG"
"661","HG00707.SG"
"662","HG00708.SG"
"663","HG00717.SG"
"664","HG00728.SG"
"665","HG00729.SG"
"666","HG00731.SG"
"667","HG00732.SG"
"668","HG00733.SG"
"669","HG00734.SG"
"670","HG00736.SG"
"671","HG00737.SG"
"672","HG00739.SG"
"673","HG00740.SG"
"674","HG00742.SG"
"675","HG00743.SG"
"676","HG00759.SG"
"677","HG00766.SG"
"678","HG00844.SG"
"679","HG00851.SG"
"680","HG00864.SG"
"681","HG00867.SG"
"682","HG00879.SG"
"683","HG00881.SG"
"684","HG00956.SG"
"685","HG00978.SG"
"686","HG00982.SG"
"687","HG01028.SG"
"688","HG01029.SG"
"689","HG01031.SG"
"690","HG01046.SG"
"691","HG01047.SG"
"692","HG01048.SG"
"693","HG01049.SG"
"694","HG01051.SG"
"695","HG01052.SG"
"696","HG01054.SG"
"697","HG01055.SG"
"698","HG01058.SG"
"699","HG01060.SG"
"700","HG01061.SG"
"701","HG01063.SG"
"702","HG01064.SG"
"703","HG01066.SG"
"704","HG01067.SG"
"705","HG01069.SG"
"706","HG01070.SG"
"707","HG01072.SG"
"708","HG01073.SG"
"709","HG01075.SG"
"710","HG01077.SG"
"711","HG01079.SG"
"712","HG01080.SG"
"713","HG01082.SG"
"714","HG01083.SG"
"715","HG01085.SG"
"716","HG01086.SG"
"717","HG01088.SG"
"718","HG01089.SG"
"719","HG01092.SG"
"720","HG01094.SG"
"721","HG01095.SG"
"722","HG01097.SG"
"723","HG01098.SG"
"724","HG01101.SG"
"725","HG01102.SG"
"726","HG01104.SG"
"727","HG01105.SG"
"728","HG01107.SG"
"729","HG01108.SG"
"730","HG01110.SG"
"731","HG01111.SG"
"732","HG01112.SG"
"733","HG01113.SG"
"734","HG01119.SG"
"735","HG01121.SG"
"736","HG01122.SG"
"737","HG01124.SG"
"738","HG01125.SG"
"739","HG01130.SG"
"740","HG01131.SG"
"741","HG01133.SG"
"742","HG01134.SG"
"743","HG01136.SG"
"744","HG01137.SG"
"745","HG01139.SG"
"746","HG01140.SG"
"747","HG01142.SG"
"748","HG01148.SG"
"749","HG01149.SG"
"750","HG01161.SG"
"751","HG01162.SG"
"752","HG01164.SG"
"753","HG01167.SG"
"754","HG01168.SG"
"755","HG01170.SG"
"756","HG01171.SG"
"757","HG01173.SG"
"758","HG01174.SG"
"759","HG01176.SG"
"760","HG01177.SG"
"761","HG01182.SG"
"762","HG01183.SG"
"763","HG01187.SG"
"764","HG01188.SG"
"765","HG01190.SG"
"766","HG01191.SG"
"767","HG01197.SG"
"768","HG01198.SG"
"769","HG01200.SG"
"770","HG01204.SG"
"771","HG01205.SG"
"772","HG01241.SG"
"773","HG01242.SG"
"774","HG01247.SG"
"775","HG01248.SG"
"776","HG01250.SG"
"777","HG01251.SG"
"778","HG01253.SG"
"779","HG01254.SG"
"780","HG01256.SG"
